RowID;Data;Id;Ambiente;Nome_Rota;No Answer;Failed;Answered;Busy;Total;% No Answer;% Failed;% Answered;% Busy;
129;2020-04-03T03:00:00.000Z;154;1;Ypy ITX - Fixo;3297;1398;1270;75;6040;55%;23%;21%;1%
130;2020-04-03T03:00:00.000Z;161;1;KMG TenTec ITX - Movel;3906;26837;1217;118;32078;12%;84%;4%;0%
131;2020-04-04T03:00:00.000Z;12;4;EBS 1 - 61286;30432;4753;691;0;35876;85%;13%;2%;0%
132;2020-04-04T03:00:00.000Z;22;2;EBS 0 - 108406;6975;3241;358;0;10574;66%;31%;3%;0%
133;2020-04-04T03:00:00.000Z;24;2;EBS 2 - 111848;6507;3309;388;0;10204;64%;32%;4%;0%
134;2020-04-04T03:00:00.000Z;25;2;EBS 5 - 59329;10740;4829;361;4;15934;67%;30%;2%;0%
135;2020-04-04T03:00:00.000Z;26;2;EBS 4 - 59675;0;17740;0;0;17740;0%;100%;0%;0%
136;2020-04-04T03:00:00.000Z;27;4;KMG Ypy ITX - Fixo;1665;1321;247;50;3283;51%;40%;8%;2%
137;2020-04-04T03:00:00.000Z;28;4;Ypy ITX - Fixo;9849;5425;2835;233;18342;54%;30%;15%;1%
138;2020-04-04T03:00:00.000Z;36;1;EBS 3 - 60205;1343;22059;173;0;23575;6%;94%;1%;0%
139;2020-04-04T03:00:00.000Z;38;4;KMG - TenTec ITX Movel;10042;17787;1721;178;29728;34%;60%;6%;1%
140;2020-04-04T03:00:00.000Z;39;4;TenTec ITX Movel;377;217;1129;11;1734;22%;13%;65%;1%
141;2020-04-04T03:00:00.000Z;41;4;EBS 3 - 38482;19471;2559;570;0;22600;86%;11%;3%;0%
142;2020-04-04T03:00:00.000Z;47;1;EBS 11 - 44537;1599;7553;492;0;9644;17%;78%;5%;0%
143;2020-04-04T03:00:00.000Z;47;4;Baldussi ITX - Movel;5;0;181;1;187;3%;0%;97%;1%
144;2020-04-04T03:00:00.000Z;51;2;EBS 3 - 51747;4555;6188;489;6;11238;41%;55%;4%;0%
145;2020-04-04T03:00:00.000Z;56;2;EBS 1 - 108386;12416;2582;281;0;15279;81%;17%;2%;0%
146;2020-04-04T03:00:00.000Z;59;1;EBS 13 - 67419;6358;5473;471;0;12302;52%;44%;4%;0%
147;2020-04-04T03:00:00.000Z;65;4;EBS 2 - 61029;15330;3994;530;0;19854;77%;20%;3%;0%
148;2020-04-04T03:00:00.000Z;66;4;EBS 4 - 61027;12940;3787;789;2;17518;74%;22%;5%;0%
149;2020-04-04T03:00:00.000Z;67;4;EBS 5 - 51748;3446;3180;500;0;7126;48%;45%;7%;0%
150;2020-04-04T03:00:00.000Z;68;4;EBS 6 - 51723;4400;4081;688;0;9169;48%;45%;8%;0%
151;2020-04-04T03:00:00.000Z;69;4;EBS 7 - 60188;6127;4968;683;0;11778;52%;42%;6%;0%
152;2020-04-04T03:00:00.000Z;72;4;EBS 9 - 44679;21507;4373;404;0;26284;82%;17%;2%;0%
153;2020-04-04T03:00:00.000Z;73;2;EBS 6 - 60193;10621;4519;362;0;15502;69%;29%;2%;0%
154;2020-04-04T03:00:00.000Z;80;1;EBS 4 - 38006;2138;7058;389;0;9585;22%;74%;4%;0%
155;2020-04-04T03:00:00.000Z;100;1;EBS 1 - 58073;1836;7010;727;0;9573;19%;73%;8%;0%
156;2020-04-04T03:00:00.000Z;106;2;KMG Ypy ITX - Movel;1563;2574;244;13;4394;36%;59%;6%;0%
157;2020-04-04T03:00:00.000Z;108;1;EBS 0 - 75104;2565;6816;661;14;10056;26%;68%;7%;0%
158;2020-04-04T03:00:00.000Z;111;2;Ypy ITX - Movel;244;211;292;1;748;33%;28%;39%;0%
159;2020-04-04T03:00:00.000Z;112;2;Supernova Telecom - Movel;16;6;16;1;39;41%;15%;41%;3%
160;2020-04-04T03:00:00.000Z;122;2;Ypy ITX - Fixo;4897;1398;1336;73;7704;64%;18%;17%;1%
161;2020-04-04T03:00:00.000Z;124;2;KMG Ypy ITX - Fixo;3415;3498;556;113;7582;45%;46%;7%;1%
162;2020-04-04T03:00:00.000Z;125;2;KMG TenTec ITX - Movel;2860;4594;540;39;8033;36%;57%;7%;0%
163;2020-04-04T03:00:00.000Z;126;1;EBS 2 - 48215;13668;3279;273;0;17220;79%;19%;2%;0%
164;2020-04-04T03:00:00.000Z;130;2;TenTec ITX Movel;0;3;5;0;8;0%;38%;62%;0%
165;2020-04-04T03:00:00.000Z;138;2;KMG Baldussi ITX - Movel;28529;38480;4148;648;71805;40%;54%;6%;1%
166;2020-04-04T03:00:00.000Z;139;1;KMG Ypy ITX - Movel;4982;11973;1407;94;18456;27%;65%;8%;1%
167;2020-04-04T03:00:00.000Z;140;2;Baldussi ITX - Movel;393;481;1027;8;1909;21%;25%;54%;0%
168;2020-04-04T03:00:00.000Z;140;1;Ypy ITX - Movel;3579;1235;3713;29;8556;42%;14%;43%;0%
169;2020-04-04T03:00:00.000Z;154;1;Ypy ITX - Fixo;1816;405;2779;52;5052;36%;8%;55%;1%
170;2020-04-04T03:00:00.000Z;161;1;KMG TenTec ITX - Movel;2459;13017;457;54;15987;15%;81%;3%;0%
171;2020-04-06T03:00:00.000Z;12;4;EBS 1 - 61286;1833;1083;197;0;3113;59%;35%;6%;0%
172;2020-04-06T03:00:00.000Z;22;2;EBS 0 - 108406;10715;4837;678;0;16230;66%;30%;4%;0%
173;2020-04-06T03:00:00.000Z;24;2;EBS 2 - 111848;10135;4973;634;0;15742;64%;32%;4%;0%
174;2020-04-06T03:00:00.000Z;25;2;EBS 5 - 59329;18521;7719;619;4;26863;69%;29%;2%;0%
175;2020-04-06T03:00:00.000Z;27;4;KMG Ypy ITX - Fixo;3106;3708;1537;127;8478;37%;44%;18%;1%
176;2020-04-06T03:00:00.000Z;28;4;Ypy ITX - Fixo;8793;5052;3331;298;17474;50%;29%;19%;2%
177;2020-04-06T03:00:00.000Z;36;1;EBS 3 - 60205;3876;11162;235;0;15273;25%;73%;2%;0%
178;2020-04-06T03:00:00.000Z;38;4;KMG - TenTec ITX Movel;17089;53505;5653;310;76557;22%;70%;7%;0%
179;2020-04-06T03:00:00.000Z;39;4;TenTec ITX Movel;180;55;886;1;1122;16%;5%;79%;0%
180;2020-04-06T03:00:00.000Z;41;4;EBS 3 - 38482;20238;3134;788;0;24160;84%;13%;3%;0%
181;2020-04-06T03:00:00.000Z;47;1;EBS 11 - 44537;1271;8320;441;0;10032;13%;83%;4%;0%
182;2020-04-06T03:00:00.000Z;47;4;Baldussi ITX - Movel;66;13;957;8;1044;6%;1%;92%;1%
183;2020-04-06T03:00:00.000Z;51;2;EBS 3 - 51747;6569;10623;820;1;18013;36%;59%;5%;0%
184;2020-04-06T03:00:00.000Z;56;2;EBS 1 - 108386;23578;5388;447;0;29413;80%;18%;2%;0%
185;2020-04-06T03:00:00.000Z;59;1;EBS 13 - 67419;4765;2609;284;0;7658;62%;34%;4%;0%
186;2020-04-06T03:00:00.000Z;65;4;EBS 2 - 61029;15436;6462;1055;0;22953;67%;28%;5%;0%
187;2020-04-06T03:00:00.000Z;66;4;EBS 4 - 61027;18871;11336;1421;0;31628;60%;36%;4%;0%
188;2020-04-06T03:00:00.000Z;67;4;EBS 5 - 51748;1;108746;0;0;108747;0%;100%;0%;0%
189;2020-04-06T03:00:00.000Z;68;4;EBS 6 - 51723;3790;3760;681;0;8231;46%;46%;8%;0%
190;2020-04-06T03:00:00.000Z;69;4;EBS 7 - 60188;6716;8020;1088;0;15824;42%;51%;7%;0%
191;2020-04-06T03:00:00.000Z;72;4;EBS 9 - 44679;4860;1329;316;0;6505;75%;20%;5%;0%
192;2020-04-06T03:00:00.000Z;73;2;EBS 6 - 60193;18156;7472;565;0;26193;69%;29%;2%;0%
193;2020-04-06T03:00:00.000Z;80;1;EBS 4 - 38006;890;3730;357;0;4977;18%;75%;7%;0%
194;2020-04-06T03:00:00.000Z;100;1;EBS 1 - 58073;748;3499;371;0;4618;16%;76%;8%;0%
195;2020-04-06T03:00:00.000Z;106;2;KMG Ypy ITX - Movel;4268;7984;559;73;12884;33%;62%;4%;1%
196;2020-04-06T03:00:00.000Z;108;1;EBS 0 - 75104;1389;3541;426;8;5364;26%;66%;8%;0%
197;2020-04-06T03:00:00.000Z;111;2;Ypy ITX - Movel;760;411;1593;22;2786;27%;15%;57%;1%
198;2020-04-06T03:00:00.000Z;112;2;Supernova Telecom - Movel;67;23;34;2;126;53%;18%;27%;2%
199;2020-04-06T03:00:00.000Z;122;2;Ypy ITX - Fixo;7406;2377;1755;178;11716;63%;20%;15%;2%
200;2020-04-06T03:00:00.000Z;124;2;KMG Ypy ITX - Fixo;12809;9870;1865;443;24987;51%;40%;7%;2%
201;2020-04-06T03:00:00.000Z;125;2;KMG TenTec ITX - Movel;819;1917;177;13;2926;28%;66%;6%;0%
202;2020-04-06T03:00:00.000Z;126;1;EBS 2 - 48215;4888;2849;303;0;8040;61%;35%;4%;0%
